ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
241,1,8.26,0.78,0.57,2025-07-31 01:01:02,24:FD:0D:D7:17:4A,-52
242,2,2.96,0.0,0.5,2025-07-31 01:01:08,24:FD:0D:D7:17:4A,-57
243,1,8.26,0.78,0.57,2025-07-31 01:01:11,24:FD:0D:D7:17:4A,-51
244,2,2.96,0.0,0.5,2025-07-31 01:01:17,24:FD:0D:D7:17:4A,-57
245,1,8.26,0.78,0.57,2025-07-31 01:01:20,24:FD:0D:D7:17:4A,-52
246,2,2.96,0.0,0.5,2025-07-31 01:01:25,24:FD:0D:D7:17:4A,-58
247,1,8.26,0.78,0.57,2025-07-31 01:01:29,24:FD:0D:D7:17:4A,-52
248,2,2.96,0.0,0.5,2025-07-31 01:01:34,24:FD:0D:D7:17:4A,-59
249,1,8.26,0.78,0.57,2025-07-31 01:01:38,24:FD:0D:D7:17:4A,-52
250,2,2.96,0.0,0.5,2025-07-31 01:01:43,24:FD:0D:D7:17:4A,-59
251,1,8.26,0.78,0.57,2025-07-31 01:01:47,24:FD:0D:D7:17:4A,-50
252,2,2.96,0.0,0.5,2025-07-31 01:01:51,24:FD:0D:D7:17:4A,-55
253,1,8.26,0.78,0.57,2025-07-31 01:01:56,24:FD:0D:D7:17:4A,-51
254,2,2.96,0.0,0.5,2025-07-31 01:02:00,24:FD:0D:D7:17:4A,-59
255,1,8.26,0.78,0.57,2025-07-31 01:02:04,24:FD:0D:D7:17:4A,-53
256,2,2.96,0.0,0.5,2025-07-31 01:02:08,24:FD:0D:D7:17:4A,-59
257,1,8.26,0.78,0.57,2025-07-31 01:02:13,24:FD:0D:D7:17:4A,-52
258,2,2.96,0.0,0.5,2025-07-31 01:02:17,24:FD:0D:D7:17:4A,-60
259,1,8.26,0.78,0.57,2025-07-31 01:02:23,24:FD:0D:D7:17:4A,-52
260,2,2.96,0.0,0.5,2025-07-31 01:02:26,24:FD:0D:D7:17:4A,-65
261,1,8.26,0.78,0.57,2025-07-31 01:02:32,24:FD:0D:D7:17:4A,-52
262,2,2.96,0.0,0.5,2025-07-31 01:02:34,24:FD:0D:D7:17:4A,-66
263,1,8.26,0.78,0.57,2025-07-31 01:02:41,24:FD:0D:D7:17:4A,-52
264,2,2.96,0.0,0.5,2025-07-31 01:02:43,24:FD:0D:D7:17:4A,-67
